,Titre,Description,Détail des conditions,Résumé horaires,Adresse
940,Mini Lab: Blender,S'initier à la modélisation 3D,"Gratuit, sur réservation par téléphone, sur place ou sur www.issy.com/reservation-tempsdescerises","Dimanche 5 juin, 14h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
941,Mini Lab: Tinkercad,S'initier à la modélisation 3D,"Gratuit, sur réservation par téléphone, sur place ou sur www.issy.com/reservation-tempsdescerises","Samedi 12 mars, 14h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
942,Atelier Manga - Faire une page,"Atelier de dessin avec Yoann Le Scoul auteur de ""Bravery""",sur inscription,"Samedi 9 avril, 15h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
943,Le weekend des gamers,Un week-end vidéoludique pour grands et petits dès 8 ans !,Entrée libre,13 et 14 mai,"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
944,Dans le laboratoire du céramologue,Atelier d'initiation au remontage de céramique,Entrée libre dans la limite des places disponibles,"Samedi 18 juin, 14h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
945,"Exposition ""Peindre la banlieue de Corot à Vlaminck""",Exposition de chefs-d’oeuvre impressionnistes en co-production avec l’Atelier Grognard à Rueil-Malmaison.,,17 mai - 13 août 2017,"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
946,Antonio le magicien,Spectacle de magie pour les grands et les petits.,Entrée avec le billet du Musée.,"Dimanche 9 avril 2017, 15h00","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
947,Visite guidée du Musée de la Carte à Jouer,"Chaque premier dimanche du mois, le musée ouvre ses portes !",Visite gratuite en entrée libre,"Dimanche 3 septembre 2017, 16h00","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
948,"Projection du film Inside out sur le ""street artist"" JR",Venez découvrir le projet de JR dont les portraits tapissent les murs du monde entier,Entrée libre,"Samedi 16 septembre 2017, 11h00","35 rue Gabriel-Péri, 92130 Issy-les-Moulineaux"
949,Après-midi magique au Musée !,Un après-midi ludique et magique à ne pas manquer au Musée...,entrée libre,"Dimanche 26 novembre 2017, 15h00","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
950,Visite magique au musée,Des surprises attendent les petits et les grands au musée,Tarif : de 5 à 7 €. Gratuit pour les -26 ans. Sur réservation,"10 juin 2017 - 12 mai 2018, les samedis","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
951,« Emilienne 1917. »   Itinéraire d’une jeune Française réfugiée de la Première Guerre mondiale.,Conférence de Claudie LEFRERE-CHANTRE,Entrée libre,"Mardi 13 novembre 2018, 18h30","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
952,Nuit des Musées : exposition,Découvrez le travail des collégiens sur Dubuffet !,,"Samedi 18 mai 2019, 19h00","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
953,Biennale d'Issy : performance hip hop,Découvrez la vision du thème de la Biennale par la compagnie isséenne Flies !,,"Dimanche 24 octobre 2021, 15h00","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
954,Véhicule autonome et ville de demain,"Technologie, business et société : quels enjeux ?  Comment le véhicule va-t-il s'adapter à la ville de demain? Comment les villes vont-elles s'adapter au véhicule de demain?",Gratuit sur inscription,"Mercredi 14 décembre 2016, 18h30",41-43 rue Camille Desmoulins à Issy-les-Moulineaux
955,"Le véhicule autonome, un service de mobilité du futur","Conférence organisée dans le cadre des ""Rencontres du hub"" d'Icade",Sur inscription,"Mercredi 16 mai 2018, 12h30","27 rue Camille Desmoulins, issy-les-moulineaux"
956,FORMATIONS OPENLAB (Logiciels),"Durant 3 heures, un intervenant vous apprendra à vous servir plus en profondeur des machines du Minilab.","Gratuit, sur réservation par téléphone ou sur place","Dimanche 8 mars 2020, 14h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
957,Amazonas phonosynthesis – Stéphane Marin,Sortie de résidence pour présenter un dispositif sonore immersif,Gratuit sur inscription,"Jeudi 6 février 2020, 20h30",20 cours saint vincent
958,Exposition de littérature numérique,Exposition de projets innovants,Gratuit,7 - 26 juin 2016,"33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
959,"Portraits ""Women in Numérique""",Des figures féminines qui bousculent le monde numérique,"Entrée libre, aux horaires d'ouverture",7 - 18 juin,"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
960,Visite guidée de l'Hôpital Corentin-Celton,"Visite conduite par Muriel Guilleminot, architecte.",,"Samedi 17 septembre 2016, 10h30","4, parvis Corentin-Celton, Issy-les-Moulineaux, 92130, Ile-de-France, Hauts-de-Seine"
961,"Conférence Augmentée "" C’est quoi l’art numérique ? """,Evénement en ligne,Gratuit sur inscription,"Mercredi 9 décembre 2020, 17h00","20 cours Saint-Vincent, 92130 Issy-les-Moulineaux"
962,Annulé | L'Aparté vous accueille ce samedi,Lieu d’accueil pour les bébés et les enfants de moins de 4 ans accompagnés d’un adulte familier. Entrée libre sans rendez-vous.,Entrée libre sans rendez-vous,"Samedi 6 juin 2020, 15h00","60 rue du Général Leclerc, 92130 Issy-les-Moulineaux"
963,Conférence-débat : La sexualité des adolescents expliquée sans tabou aux parents !,"Conférence-débat avec Gadha Hatem, sur réservation","Conférence gratuite, renseignements par téléphone, inscription par email","Samedi 9 octobre 2021, 10h00","60 rue du Général Leclerc, 92130"
964,Conférence-débat : Concilier compétition et épanouissement de l'enfant,Organisée par l'Espace Parent-Enfant dans le cadre des Semaines Isséennes des Droits de l'Enfant,Entrée gratuite après inscription sur la plateforme numérique dans la limite des places disponibles et selon les contraintes sanitaires en vigueur,"Mardi 30 novembre 2021, 20h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
965,Et si l'univers avait un sens...,"Conférence par David Elbaz, astrophysicien et directeur de recherche au Commissariat à l’Energie Atomique",Entrée libre,"Mardi 19 avril, 19h30","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
966,Annulé | Boris Vian et le cinéma,"Conférence par Dimitri Vezyroglou, maître de conférences, Université Paris 1","Entrée libre, sur réservation, tél 01 41 23 82 82","Jeudi 4 juin 2020, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
967,Ciném'Anim : En sortant de l'école : La liberté,"A partir de 5 ans. Tant mieux prod, 2022, 39 min.",Entrée libre sur réservation,"Samedi 26 mars, 17h00","60 rue du Général Leclerc, Issy-les-Moulineaux"
968,LA SCENE PUNK EN FRANCE,"Le Réacteur présente une journée d'étude autour de la scène Punk soutenu par le programme Intelligence des patrimoines du CESR, THALIM,l’ANR et LNEi",,"Samedi 30 novembre 2019, 09h30","31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
969,LAURA et ANDY/  Les Rendez-vous du Réacteur  #EnsembleALaMaison,#EnsembleALaMaison,,"Vendredi 24 avril 2020, 19h00",31 bis rue aristide Briand 92130 issy-Les-Moulineaux
970,TESS et JENNA / Les Rendez-vous du Réacteur,#EnsembleALaMaison,,"Lundi 27 avril 2020, 18h30",31 bis rue aristide Briand 92130 issy-Les-Moulineaux
971,Marché des Arts,De nombreux artistes vous attendent à Issy pour cette 10 ème édition du Marché des Arts !,"Entrée libre. En cas d'intempéries, les horaires changent: 11h-17h30",10 et 11 septembre 2016,"Mail Raymond Menand, 92130 Issy-les-moulineaux"
972,"La philo à l'écran des enfants projection du dessin animé ""Le géant de fer""",Suivi d'une conversation philosophique animée par Emiliano Ferrari sur la question : Et si l'amitié était un super pouvoir?,Entrée libre,"Dimanche 16 octobre 2016, 15h00","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
973,Rencontre-dédicace avec Yvon Le Men,"Acteur important de la scène culturelle, Yvon Le Men est l’auteur d’une oeuvre poétique traduite dans une vingtaine de langues.",,"Vendredi 23 septembre 2016, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
974,1914-1918 les juifs dans la tourmente,"À l'occasion de la conférence du Grand Rabbin de France sur l'engagement de la communauté juive dans la grande guerre, une exposition vous fera vivre ce pan de l'histoire à travers la carte postale.",Entrée libre,5 - 10 décembre 2016,"62 rue du général Leclerc, 92130 Issy-les-Moulineaux"
975,"Rencontre : Imageries médicales, doute, croyance et certitudes chez les pédiatres réanimateurs","Une rencontre proposée par IVSO, avec Fabrice Lesage: Pédiatre réanimateur, praticien hospitalier CHU Necker enfants malades. Sylvie Seguret : Psychologue clinicienne.",Entrée libre sur réservation,"Mardi 10 janvier 2017, 20h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
976,Marché Corentin Celton,Profitez du marché de Corentin Celton toutes les semaines.,Entée libre,3 - 29 janvier 2017,"Parvis Corentin Celton, 92130 Issy-les-Moulineaux"
977,Marché Corentin Celton,Profitez du marché de Corentin Celton toutes les semaines.,Entée libre,2 - 27 avril 2017,"Parvis Corentin Celton, 92130 Issy-les-Moulineaux"
978,"Conférence du cycle ""La couleur, de la science à la sensation""","Par Marie-Pierre Servantie, chromo-architecte.",Entrée libre,"Jeudi 19 janvier 2017, 19h30",52-54 boulevard Gallliéni
979,Le patinage artistique à roulette fait son gala,Une belle soirée de patinage au Palais des Sports Robert Charpentier vous attend le 4 mars pour prendre goût à cette discipline originale et accessible dès 4 ans.,Entrée : 3€,"Samedi 4 mars 2017, 20h30","6 Boulevard des Frères Voisin, 92130 Issy-les-Moulineaux"
980,Rencontre-Débat sur les acouphènes,Les acouphènes en parler et être écouté,Entrée libre dans la limite des places disponibles,"Jeudi 16 mars 2017, 19h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
981,Comme un souffle,Spectacle pour tout petits de la compagnie La boîte noire dans le cadre du Festival MARTO!,A partir de 18 mois. Durée: 25-30 min. Sur réservation au tarif de 8€,"Dimanche 12 mars 2017, 10h00, 11h15","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
982,Venez vous initier gratuitement aux gestes qui sauvent avec la Croix Rouge Française d'Issy,"En mars 2017, avec la préfecture des Hauts-de-Seine, la Croix-Rouge française se mobilise pour vous proposer des initiations gratuites aux gestes qui sauvent !",Sur inscription,18 et 25 mars 2017,"14 bis rue du chevalier de la Barre, 92130 Issy-les-Moulineaux"
